province,latitude,longitude,fire_cause,fire_type,response_type,protection_zone,fn_indicator,n_fn_20km,any_evacuation,log_fire_size_ha,log_dist_to_fn_km
BC,50.4956,-115.3742,natural,fire,moderate,other,False,0,False,-0.5633576331709221,-0.328279611163226
BC,55.8255,-123.1873,natural,fire,full,other,False,0,False,-0.966030551649182,-0.4078893096228276
BC,53.4616,-126.101,natural,fire,monitor,other,False,0,False,0.2975892114978751,-0.4238420342692851
BC,56.7857,-126.6837,natural,fire,monitor,other,False,0,False,-1.1138720707473402,-0.0104945849105472
BC,50.6298,-115.7368,natural,fire,full,other,False,0,False,0.3345902279912047,-0.6968572262721842
BC,56.4161,-121.2324,human,fire,full,other,False,1,False,0.3346759950074467,-1.0263934422268162
BC,49.5919,-126.2774,unknown,fire,monitor,other,False,8,False,-0.8880080376111293,-1.3496867584084362
BC,49.771,-119.9618,human,fire,full,other,False,0,False,-0.2786127445114253,-0.5996611715407755
BC,49.6108,-115.7134,human,fire,full,other,True,6,False,0.6215066585364535,-2.8210130662253
BC,59.628,-126.9532,natural,fire,monitor,other,False,1,False,0.702935868803381,-1.1766367564080396
BC,59.7041,-134.2523,human,fire,moderate,other,False,0,False,0.1650937979673082,-0.3924611382501766
BC,49.2834,-124.6147,human,fire,full,other,False,6,False,-1.277584578363402,-1.032880575001491
BC,50.6177,-117.2668,natural,fire,monitor,other,False,0,False,-0.3244793451106256,0.2650282639632305
BC,55.2402,-123.6703,natural,fire,full,other,False,0,False,1.6157108707425594,-0.3354463965008743
BC,50.4515,-117.0131,natural,fire,moderate,other,False,0,False,-0.6810863305946024,0.1140933110901474
BC,52.6166,-121.0711,natural,fire,moderate,other,False,0,False,-0.3711796624562034,0.1774428775274267
BC,53.4714,-125.2031,natural,fire,monitor,other,False,1,False,-1.3509322467744684,-1.2752648328044047
BC,54.116,-126.9227,natural,fire,monitor,other,False,2,False,-1.302814270246955,-1.1254978288394204
BC,53.4993,-127.0712,natural,fire,monitor,other,False,0,False,-0.2045943989778173,-0.0056332678216551
BC,49.9343,-119.4611,unknown,fire,full,other,False,6,False,-0.5441233404642816,-1.3927312688783449
BC,56.5112,-121.2219,human,fire,full,other,False,2,False,1.7906244680446015,-0.7726182887220862
BC,49.9081,-119.6328,unknown,fire,full,other,False,4,False,1.3180889656553134,-1.4633147605823993
BC,50.0275,-119.4413,natural,fire,full,other,False,2,False,-0.9709682165663848,-1.891044298025808
BC,52.0622,-123.5597,human,fire,other,other,False,0,False,-0.2145866485674355,-0.6707106786640367
BC,50.3709,-126.0437,human,fire,full,other,False,3,False,-1.2748424481395593,-1.3779166101776994
BC,49.0011,-119.5057,unknown,fire,full,other,False,4,False,0.8868086677335973,-1.5063508430148178
BC,49.9815,-121.64,natural,fire,full,other,False,38,False,1.4570500777489144,-1.2668639164153084
SK,53.0138,-106.190767,human,unknown,other,other,False,5,False,-0.5262937357884883,-1.0536856292392809
SK,55.644317,-109.219233,human,unknown,other,other,False,0,False,2.4844869232391043,-0.4942177651860835
SK,56.481967,-109.435333,human,unknown,other,other,False,2,False,-1.1833005955702431,-1.7776432247204603
SK,53.701691,-104.596457,human,unknown,other,other,False,0,False,-0.4936640380882213,-0.278557838232944
SK,53.960517,-102.40425,human,unknown,other,other,False,3,False,-0.9944060609419024,-1.3108963464092642
SK,53.121339,-108.196355,human,unknown,other,other,True,34,False,1.3630312666914246,-2.8210130662253
SK,55.558417,-108.380233,human,unknown,other,other,False,0,False,2.9710942369657896,-0.2724125109081122
SK,54.82195,-105.7656,human,unknown,other,other,False,1,False,-0.0631518224598772,-1.1210348228940208
SK,56.06835,-105.85235,natural,unknown,other,other,False,0,False,3.334415138595728,-0.0204040698477572
SK,55.2572,-106.374667,natural,unknown,other,other,False,0,False,2.2830567488515574,-0.4617297121493407
SK,56.3283,-106.763367,natural,unknown,other,other,False,0,False,2.460468853961694,-0.3583563880490885
SK,55.984833,-106.58665,natural,unknown,other,other,False,1,False,3.632626148506936,-1.0185948626960355
SK,55.3215,-109.799333,natural,unknown,other,other,False,0,False,0.0077526619601635,-0.0889715853028549
SK,57.2352,-102.716033,natural,unknown,other,other,False,0,False,0.6075856155641839,-0.2256865658592861
SK,56.554133,-104.258291,natural,unknown,other,other,False,0,False,-0.2632429163203598,0.0651020753577763
SK,55.282914,-110.000705,natural,unknown,other,other,False,0,False,2.336613064380767,-0.1845001596440527
SK,55.290761,-109.988132,natural,unknown,other,other,False,0,False,1.7966852370081448,-0.1859153797503575
SK,53.42565,-106.893233,human,unknown,other,other,True,5,False,-1.1623464105772825,-2.8210130662253
SK,53.38445,-106.103533,human,unknown,other,other,True,12,False,-0.8884533071083922,-2.8210130662253
SK,55.241689,-109.688796,natural,unknown,other,other,False,0,False,0.971709561616615,-0.0104119854057176
SK,54.85375,-103.389967,human,unknown,other,other,False,3,False,1.0403624274568208,-2.8031085137275253
SK,55.424067,-105.1221,natural,unknown,other,other,False,1,False,1.52072903315507,-0.940234678073235
SK,52.72738,-102.481436,human,unknown,other,other,False,0,False,-1.1117546147461252,0.0086082678159378
SK,59.7405,-109.3085,natural,unknown,other,other,False,0,False,1.5093096928126557,-0.1043204183653248
SK,59.657167,-109.610833,natural,unknown,other,other,False,0,False,1.0179910278849804,-0.4131272472265122
SK,57.876629,-107.046291,natural,unknown,other,other,False,0,False,2.026365045862416,-0.0945740469478569
SK,56.4411,-107.966317,natural,unknown,other,other,False,0,False,1.6821849667206,-0.5568787877097918
SK,56.565,-109.301833,natural,unknown,other,other,False,1,False,0.1613621151548077,-1.583409872005811
SK,55.837911,-109.774207,natural,unknown,other,other,False,0,False,0.5471628446572918,-0.2624358792384361
SK,56.257973,-107.311968,natural,unknown,other,other,False,1,False,-0.2608730673493147,-1.3209185888286832
SK,56.861153,-106.427403,natural,unknown,other,other,False,2,False,0.7475249118152804,-1.2898477145661085
SK,56.830067,-106.594933,natural,unknown,other,other,False,1,False,1.4901651273080847,-0.8165783640485457
SK,55.036183,-104.086883,natural,unknown,other,other,False,0,False,2.188175459756975,-0.2276926257464442
SK,56.45795,-104.382583,natural,unknown,other,other,False,0,False,-1.1701810135701147,0.1083664739622661
